mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,class
11.06,14.96,71.49,373.9,0.1033,0.09097,0.05397,1
19.68,21.68,129.9,1194,0.09797,0.1339,0.1863,0
11.71,15.45,75.03,420.3,0.115,0.07281,0.04006,1
10.26,14.71,66.2,321.6,0.09882,0.09159,0.03581,1
12.06,18.9,76.66,445.3,0.08386,0.05794,0.00751,1
14.76,14.74,94.87,668.7,0.08875,0.0778,0.04608,1
11.47,16.03,73.02,402.7,0.09076,0.05886,0.02587,1
11.95,14.96,77.23,426.7,0.1158,0.1206,0.01171,1
11.66,17.07,73.7,421,0.07561,0.0363,0.008306,1
15.75,19.22,107.1,758.6,0.1243,0.2364,0.2914,0
25.73,17.46,174.2,2010,0.1149,0.2363,0.3368,0
15.08,25.74,98,716.6,0.1024,0.09769,0.1235,0
11.14,14.07,71.24,384.6,0.07274,0.06064,0.04505,1
12.56,19.07,81.92,485.8,0.0876,0.1038,0.103,1
13.05,18.59,85.09,512,0.1082,0.1304,0.09603,1
13.87,16.21,88.52,593.7,0.08743,0.05492,0.01502,1
8.878,15.49,56.74,241,0.08293,0.07698,0.04721,1
9.436,18.32,59.82,278.6,0.1009,0.05956,0.0271,1
12.54,18.07,79.42,491.9,0.07436,0.0265,0.001194,1
13.3,21.57,85.24,546.1,0.08582,0.06373,0.03344,1
12.76,18.84,81.87,496.6,0.09676,0.07952,0.02688,1
16.5,18.29,106.6,838.1,0.09686,0.08468,0.05862,1
13.4,16.95,85.48,552.4,0.07937,0.05696,0.02181,1
20.44,21.78,133.8,1293,0.0915,0.1131,0.09799,0
20.2,26.83,133.7,1234,0.09905,0.1669,0.1641,0
12.21,18.02,78.31,458.4,0.09231,0.07175,0.04392,1
21.71,17.25,140.9,1546,0.09384,0.08562,0.1168,0
22.01,21.9,147.2,1482,0.1063,0.1954,0.2448,0
16.35,23.29,109,840.4,0.09742,0.1497,0.1811,0
15.19,13.21,97.65,711.8,0.07963,0.06934,0.03393,1
21.37,15.1,141.3,1386,0.1001,0.1515,0.1932,0
20.64,17.35,134.8,1335,0.09446,0.1076,0.1527,0
13.69,16.07,87.84,579.1,0.08302,0.06374,0.02556,1
16.17,16.07,106.3,788.5,0.0988,0.1438,0.06651,1
10.57,20.22,70.15,338.3,0.09073,0.166,0.228,1
13.46,28.21,85.89,562.1,0.07517,0.04726,0.01271,1
13.66,15.15,88.27,580.6,0.08268,0.07548,0.04249,1
11.08,18.83,73.3,361.6,0.1216,0.2154,0.1689,0
11.27,12.96,73.16,386.3,0.1237,0.1111,0.079,1
11.04,14.93,70.67,372.7,0.07987,0.07079,0.03546,1
12.05,22.72,78.75,447.8,0.06935,0.1073,0.07943,1
12.39,17.48,80.64,462.9,0.1042,0.1297,0.05892,1
13.28,13.72,85.79,541.8,0.08363,0.08575,0.05077,1
14.6,23.29,93.97,664.7,0.08682,0.06636,0.0839,0
12.21,14.09,78.78,462,0.08108,0.07823,0.06839,1
13.88,16.16,88.37,596.6,0.07026,0.04831,0.02045,1
11.27,15.5,73.38,392,0.08365,0.1114,0.1007,1
19.55,23.21,128.9,1174,0.101,0.1318,0.1856,0
10.26,12.22,65.75,321.6,0.09996,0.07542,0.01923,1
8.734,16.84,55.27,234.3,0.1039,0.07428,0,1
15.49,19.97,102.4,744.7,0.116,0.1562,0.1891,0
21.61,22.28,144.4,1407,0.1167,0.2087,0.281,0
12.1,17.72,78.07,446.2,0.1029,0.09758,0.04783,1
14.06,17.18,89.75,609.1,0.08045,0.05361,0.02681,1
13.51,18.89,88.1,558.1,0.1059,0.1147,0.0858,1
12.8,17.46,83.05,508.3,0.08044,0.08895,0.0739,1
11.06,14.83,70.31,378.2,0.07741,0.04768,0.02712,1
11.8,17.26,75.26,431.9,0.09087,0.06232,0.02853,1
17.91,21.02,124.4,994,0.123,0.2576,0.3189,0
11.93,10.91,76.14,442.7,0.08872,0.05242,0.02606,1
12.96,18.29,84.18,525.2,0.07351,0.07899,0.04057,1
12.94,16.17,83.18,507.6,0.09879,0.08836,0.03296,1
12.34,14.95,78.29,469.1,0.08682,0.04571,0.02109,1
10.94,18.59,70.39,370,0.1004,0.0746,0.04944,1
16.14,14.86,104.3,800,0.09495,0.08501,0.055,1
12.85,21.37,82.63,514.5,0.07551,0.08316,0.06126,1
17.99,20.66,117.8,991.7,0.1036,0.1304,0.1201,0
12.27,17.92,78.41,466.1,0.08685,0.06526,0.03211,1
11.36,17.57,72.49,399.8,0.08858,0.05313,0.02783,1
11.04,16.83,70.92,373.2,0.1077,0.07804,0.03046,1
9.397,21.68,59.75,268.8,0.07969,0.06053,0.03735,1
14.99,22.11,97.53,693.7,0.08515,0.1025,0.06859,1
15.13,29.81,96.71,719.5,0.0832,0.04605,0.04686,0
11.89,21.17,76.39,433.8,0.09773,0.0812,0.02555,1
9.405,21.7,59.6,271.2,0.1044,0.06159,0.02047,1
15.5,21.08,102.9,803.1,0.112,0.1571,0.1522,0
12.7,12.17,80.88,495,0.08785,0.05794,0.0236,1
11.16,21.41,70.95,380.3,0.1018,0.05978,0.008955,1
11.57,19.04,74.2,409.7,0.08546,0.07722,0.05485,1
14.69,13.98,98.22,656.1,0.1031,0.1836,0.145,1
11.61,16.02,75.46,408.2,0.1088,0.1168,0.07097,1
13.66,19.13,89.46,575.3,0.09057,0.1147,0.09657,1
9.742,19.12,61.93,289.7,0.1075,0.08333,0.008934,1
10.03,21.28,63.19,307.3,0.08117,0.03912,0.00247,1
10.48,14.98,67.49,333.6,0.09816,0.1013,0.06335,1
10.8,21.98,68.79,359.9,0.08801,0.05743,0.03614,1
11.13,16.62,70.47,381.1,0.08151,0.03834,0.01369,1
12.72,17.67,80.98,501.3,0.07896,0.04522,0.01402,1
14.9,22.53,102.1,685,0.09947,0.2225,0.2733,0
12.4,17.68,81.47,467.8,0.1054,0.1316,0.07741,1
20.18,19.54,133.8,1250,0.1133,0.1489,0.2133,0
18.82,21.97,123.7,1110,0.1018,0.1389,0.1594,0
14.86,16.94,94.89,673.7,0.08924,0.07074,0.03346,1
13.98,19.62,91.12,599.5,0.106,0.1133,0.1126,0
12.87,19.54,82.67,509.2,0.09136,0.07883,0.01797,1
14.04,15.98,89.78,611.2,0.08458,0.05895,0.03534,1
13.85,19.6,88.68,592.6,0.08684,0.0633,0.01342,1
14.02,15.66,89.59,606.5,0.07966,0.05581,0.02087,1
10.97,17.2,71.73,371.5,0.08915,0.1113,0.09457,1
17.27,25.42,112.4,928.8,0.08331,0.1109,0.1204,0
13.78,15.79,88.37,585.9,0.08817,0.06718,0.01055,1
10.57,18.32,66.82,340.9,0.08142,0.04462,0.01993,1
18.03,16.85,117.5,990,0.08947,0.1232,0.109,0
11.99,24.89,77.61,441.3,0.103,0.09218,0.05441,1
17.75,28.03,117.3,981.6,0.09997,0.1314,0.1698,0
14.8,17.66,95.88,674.8,0.09179,0.0889,0.04069,1
14.53,19.34,94.25,659.7,0.08388,0.078,0.08817,1
21.1,20.52,138.1,1384,0.09684,0.1175,0.1572,0
11.87,21.54,76.83,432,0.06613,0.1064,0.08777,1
19.59,25,127.7,1191,0.1032,0.09871,0.1655,0
12,28.23,76.77,442.5,0.08437,0.0645,0.04055,1
14.53,13.98,93.86,644.2,0.1099,0.09242,0.06895,1
12.62,17.15,80.62,492.9,0.08583,0.0543,0.02966,1
13.38,30.72,86.34,557.2,0.09245,0.07426,0.02819,1
11.63,29.29,74.87,415.1,0.09357,0.08574,0.0716,1
13.21,25.25,84.1,537.9,0.08791,0.05205,0.02772,1
13,25.13,82.61,520.2,0.08369,0.05073,0.01206,1
9.755,28.2,61.68,290.9,0.07984,0.04626,0.01541,1
17.08,27.15,111.2,930.9,0.09898,0.111,0.1007,0
27.42,26.27,186.9,2501,0.1084,0.1988,0.3635,0
14.4,26.99,92.25,646.1,0.06995,0.05223,0.03476,1
11.6,18.36,73.88,412.7,0.08508,0.05855,0.03367,1
13.17,18.22,84.28,537.3,0.07466,0.05994,0.04859,1
13.24,20.13,86.87,542.9,0.08284,0.1223,0.101,1
13.14,20.74,85.98,536.9,0.08675,0.1089,0.1085,1
