DO,FC,pH,BOD,T,T-PO4,N,TU,TS,Q,S,class
6.3,9,8.3,9,13,0.03,0.04,7,87,4.39,1,0
4.3,4,8.3,8,15,0.05,0.21,18,148,7.14,1,0
5.3,19,8.2,14,16,0.04,1.35,65,321,10.52,1,0
5.4,14,8.2,13,17,0.07,1.48,110,459,10.27,1,0
5.1,78,8.2,19,18,0.09,4.52,112,448,10.31,1,0
4.9,110,8.3,41,17,0.09,3.77,152,473,1.32,1,0
4.9,99,8.1,49,18,0.1,3.25,210,634,0.53,1,0
4.8,67,8.2,45,18,0.09,3.9,397,745,0.18,2,0
4.7,5,8.61,10,16,0.01,0.3,7,280,3.32,2,0
4.5,8,8.71,11,19,0.08,1.3,57,390,4.43,2,0
4.2,25,8.4,13,25,0.06,2.2,250,474,6.94,2,0
3.6,14,8.54,11,25,0.1,2.8,342,693,6.82,2,0
4.3,20,8.55,22,25,0.08,3.2,405,746,6.57,2,0
4.2,170,8.52,44,26,0.1,4.1,312,683,0.83,2,0
3.1,145,8.36,50,26,0.1,3,198,559,0.36,2,0
4.4,120,8.23,48,25,0.08,2.6,105,488,0.1,2,0
7.1,2,8.2,1,11,0.01,0.1,13,280,3.93,3,1
7.1,2,8.3,2,11,0.01,0.9,12,280,6.35,3,1
5.7,7,8.4,2,13,0.01,1.6,15,320,9.21,3,1
6.1,8,8.5,4,14,0.1,1.8,175,430,8.86,3,1
6,11,8.5,9,17,0.05,3.5,350,573,9.07,3,1
5.6,59,8.5,32,18,0.1,3.2,300,523,1.14,3,1
5.4,50,8.3,22,17,0.08,3.1,110,328,0.45,3,1
5.3,39,8.3,10,18,0.04,1.9,75,399,0.16,3,1
9.1,3,8.4,1,6,0.04,0.08,7,230,3.5,4,1
8.8,2,8.3,2,6,0.08,0.39,5,221,5.84,4,1
8.2,5,8.3,2,7,0.07,0.78,8,269,8.41,4,1
7.1,6,8.2,2,9,0.09,0.78,121,360,8.13,4,1
7.1,9,8.3,6,11,0.08,1.9,205,481,8.21,4,1
7,44,8.3,21,12,0.06,1.8,200,462,1.06,4,1
7,46,8.3,15,11,0.07,1.8,54,270,0.4,4,1
6.9,36,8.3,7,14,0.03,1.1,47,313,0.15,4,1
